date,time,event,platform,ad_id,ad_cost_type,ad_cost
2019-04-01,2019-04-01 15:08:54,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 15:10:05,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 15:11:45,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 15:13:25,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 15:13:54,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 15:15:14,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 15:18:37,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 15:18:37,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 15:22:33,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 15:26:16,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 15:27:47,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 15:27:59,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 15:31:55,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 15:32:08,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 15:32:18,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 15:33:57,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 15:35:46,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 15:37:00,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 15:40:34,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 15:48:16,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 15:48:50,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 15:50:14,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 15:50:14,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 15:50:26,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 15:51:25,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 16:01:49,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 16:07:17,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 16:09:19,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 16:13:23,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 16:14:29,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 16:15:31,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 16:16:07,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 16:16:17,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 16:17:01,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 16:23:38,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 16:23:38,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 16:26:10,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 16:26:48,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 16:28:31,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 16:28:36,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 16:29:53,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 16:30:18,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 16:30:44,view,web,121288,CPM,187.4
